match_id,comp_slug,season_slug,match_date,start_time,home_name,away_name,score_home,score_away,match_centre_url,match_dir,match_slug
1913921,laliga,2025-2026,2025-09-13,21:00,Atletico Madrid,Villarreal,2,0,https://es.whoscored.com/Matches/1913921/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250913_Atletico_vs_Villarreal_1913921,20250913_Atletico_vs_Villarreal_1913921
1913923,laliga,2025-2026,2025-09-14,14:00,Celta Vigo,Girona,1,1,https://es.whoscored.com/Matches/1913923/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250914_Celta_Vigo_vs_Girona_1913923,20250914_Celta_Vigo_vs_Girona_1913923
1913928,laliga,2025-2026,2025-09-14,16:15,Levante,Real Betis,2,2,https://es.whoscored.com/Matches/1913928/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250914_Levante_vs_Real_Betis_1913928,20250914_Levante_vs_Real_Betis_1913928
1913926,laliga,2025-2026,2025-09-14,18:30,Osasuna,Rayo Vallecano,2,0,https://es.whoscored.com/Matches/1913926/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250914_Osasuna_vs_Rayo_Vallecano_1913926,20250914_Osasuna_vs_Rayo_Vallecano_1913926
1913922,laliga,2025-2026,2025-09-14,21:00,Barcelona,Valencia,6,0,https://es.whoscored.com/Matches/1913922/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250914_Barcelona_vs_Valencia_1913922,20250914_Barcelona_vs_Valencia_1913922
1913924,laliga,2025-2026,2025-09-15,21:00,Espanyol,Mallorca,3,2,https://es.whoscored.com/Matches/1913924/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250915_Espanyol_vs_Mallorca_1913924,20250915_Espanyol_vs_Mallorca_1913924
1913905,laliga,2025-2026,2025-09-19,21:00,Real Betis,Real Sociedad,3,1,https://es.whoscored.com/Matches/1913905/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250919_Real_Betis_vs_Real_Sociedad_1913905,20250919_Real_Betis_vs_Real_Sociedad_1913905
1913907,laliga,2025-2026,2025-09-20,14:00,Girona,Levante,0,4,https://es.whoscored.com/Matches/1913907/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250920_Girona_vs_Levante_1913907,20250920_Girona_vs_Levante_1913907
1913911,laliga,2025-2026,2025-09-20,16:15,Real Madrid,Espanyol,2,0,https://es.whoscored.com/Matches/1913911/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250920_Real_Madrid_vs_Espanyol_1913911,20250920_Real_Madrid_vs_Espanyol_1913911
1913912,laliga,2025-2026,2025-09-20,18:30,Villarreal,Osasuna,2,1,https://es.whoscored.com/Matches/1913912/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250920_Villarreal_vs_Osasuna_1913912,20250920_Villarreal_vs_Osasuna_1913912
1913931,laliga,2025-2026,2025-09-20,18:30,Deportivo Alaves,Sevilla,1,2,https://es.whoscored.com/Matches/1913931/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250920_Deportivo_Alaves_vs_Sevilla_1913931,20250920_Deportivo_Alaves_vs_Sevilla_1913931
1913908,laliga,2025-2026,2025-09-20,21:00,Valencia,Athletic Club,2,0,https://es.whoscored.com/Matches/1913908/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250920_Valencia_vs_Athletic_Club_1913908,20250920_Valencia_vs_Athletic_Club_1913908
1913910,laliga,2025-2026,2025-09-21,14:00,Rayo Vallecano,Celta Vigo,1,1,https://es.whoscored.com/Matches/1913910/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250921_Rayo_Vallecano_vs_Celta_Vigo_1913910,20250921_Rayo_Vallecano_vs_Celta_Vigo_1913910
1913909,laliga,2025-2026,2025-09-21,16:15,Mallorca,Atletico Madrid,1,1,https://es.whoscored.com/Matches/1913909/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250921_Mallorca_vs_Atletico_1913909,20250921_Mallorca_vs_Atletico_1913909
1913906,laliga,2025-2026,2025-09-21,17:30,Elche,Real Oviedo,1,0,https://es.whoscored.com/Matches/1913906/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250921_Elche_vs_Real_Oviedo_1913906,20250921_Elche_vs_Real_Oviedo_1913906
1913903,laliga,2025-2026,2025-09-21,21:00,Barcelona,Getafe,3,0,https://es.whoscored.com/Matches/1913903/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250921_Barcelona_vs_Getafe_1913903,20250921_Barcelona_vs_Getafe_1913903
1913932,laliga,2025-2026,2025-09-23,19:00,Espanyol,Valencia,2,2,https://es.whoscored.com/Matches/1913932/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250923_Espanyol_vs_Valencia_1913932,20250923_Espanyol_vs_Valencia_1913932
1913942,laliga,2025-2026,2025-09-23,19:00,Athletic Club,Girona,1,1,https://es.whoscored.com/Matches/1913942/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250923_Athletic_Club_vs_Girona_1913942,20250923_Athletic_Club_vs_Girona_1913942
1913933,laliga,2025-2026,2025-09-23,21:30,Levante,Real Madrid,1,4,https://es.whoscored.com/Matches/1913933/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250923_Levante_vs_Real_Madrid_1913933,20250923_Levante_vs_Real_Madrid_1913933
1913934,laliga,2025-2026,2025-09-23,21:30,Sevilla,Villarreal,1,2,https://es.whoscored.com/Matches/1913934/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250923_Sevilla_vs_Villarreal_1913934,20250923_Sevilla_vs_Villarreal_1913934
1913935,laliga,2025-2026,2025-09-24,19:00,Getafe,Deportivo Alaves,1,1,https://es.whoscored.com/Matches/1913935/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250924_Getafe_vs_Deportivo_Alaves_1913935,20250924_Getafe_vs_Deportivo_Alaves_1913935
1913944,laliga,2025-2026,2025-09-24,20:30,Real Sociedad,Mallorca,1,0,https://es.whoscored.com/Matches/1913944/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250924_Real_Sociedad_vs_Mallorca_1913944,20250924_Real_Sociedad_vs_Mallorca_1913944
1913945,laliga,2025-2026,2025-09-24,21:30,Atletico Madrid,Rayo Vallecano,3,2,https://es.whoscored.com/Matches/1913945/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250924_Atletico_vs_Rayo_Vallecano_1913945,20250924_Atletico_vs_Rayo_Vallecano_1913945
1913938,laliga,2025-2026,2025-09-25,19:30,Osasuna,Elche,1,1,https://es.whoscored.com/Matches/1913938/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250925_Osasuna_vs_Elche_1913938,20250925_Osasuna_vs_Elche_1913938
1913936,laliga,2025-2026,2025-09-25,21:30,Real Oviedo,Barcelona,1,3,https://es.whoscored.com/Matches/1913936/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250925_Real_Oviedo_vs_Barcelona_1913936,20250925_Real_Oviedo_vs_Barcelona_1913936
1913941,laliga,2025-2026,2025-09-26,21:00,Girona,Espanyol,0,0,https://es.whoscored.com/Matches/1913941/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250926_Girona_vs_Espanyol_1913941,20250926_Girona_vs_Espanyol_1913941
1913953,laliga,2025-2026,2025-09-27,14:00,Getafe,Levante,1,1,https://es.whoscored.com/Matches/1913953/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250927_Getafe_vs_Levante_1913953,20250927_Getafe_vs_Levante_1913953
1913947,laliga,2025-2026,2025-09-27,16:15,Atletico Madrid,Real Madrid,5,2,https://es.whoscored.com/Matches/1913947/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250927_Atletico_vs_Real_Madrid_1913947,20250927_Atletico_vs_Real_Madrid_1913947
1913957,laliga,2025-2026,2025-09-27,18:30,Mallorca,Deportivo Alaves,1,0,https://es.whoscored.com/Matches/1913957/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250927_Mallorca_vs_Deportivo_Alaves_1913957,20250927_Mallorca_vs_Deportivo_Alaves_1913957
1913939,laliga,2025-2026,2025-09-27,21:00,Villarreal,Athletic Club,1,0,https://es.whoscored.com/Matches/1913939/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250927_Villarreal_vs_Athletic_Club_1913939,20250927_Villarreal_vs_Athletic_Club_1913939
1913955,laliga,2025-2026,2025-09-28,13:00,Rayo Vallecano,Sevilla,0,1,https://es.whoscored.com/Matches/1913955/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250928_Rayo_Vallecano_vs_Sevilla_1913955,20250928_Rayo_Vallecano_vs_Sevilla_1913955
1913940,laliga,2025-2026,2025-09-28,16:15,Elche,Celta Vigo,2,1,https://es.whoscored.com/Matches/1913940/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250928_Elche_vs_Celta_Vigo_1913940,20250928_Elche_vs_Celta_Vigo_1913940
1913949,laliga,2025-2026,2025-09-28,18:30,Barcelona,Real Sociedad,2,1,https://es.whoscored.com/Matches/1913949/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250928_Barcelona_vs_Real_Sociedad_1913949,20250928_Barcelona_vs_Real_Sociedad_1913949
1913951,laliga,2025-2026,2025-09-28,21:00,Real Betis,Osasuna,2,0,https://es.whoscored.com/Matches/1913951/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250928_Real_Betis_vs_Osasuna_1913951,20250928_Real_Betis_vs_Osasuna_1913951
1913943,laliga,2025-2026,2025-09-30,20:00,Valencia,Real Oviedo,1,2,https://es.whoscored.com/Matches/1913943/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20250930_Valencia_vs_Real_Oviedo_1913943,20250930_Valencia_vs_Real_Oviedo_1913943
1913960,laliga,2025-2026,2025-10-03,21:00,Osasuna,Getafe,2,1,https://es.whoscored.com/Matches/1913960/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251003_Osasuna_vs_Getafe_1913960,20251003_Osasuna_vs_Getafe_1913960
1913962,laliga,2025-2026,2025-10-04,14:00,Real Oviedo,Levante,0,2,https://es.whoscored.com/Matches/1913962/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251004_Real_Oviedo_vs_Levante_1913962,20251004_Real_Oviedo_vs_Levante_1913962
1913950,laliga,2025-2026,2025-10-04,16:15,Girona,Valencia,2,1,https://es.whoscored.com/Matches/1913950/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251004_Girona_vs_Valencia_1913950,20251004_Girona_vs_Valencia_1913950
1913948,laliga,2025-2026,2025-10-04,18:30,Athletic Club,Mallorca,2,1,https://es.whoscored.com/Matches/1913948/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251004_Athletic_Club_vs_Mallorca_1913948,20251004_Athletic_Club_vs_Mallorca_1913948
1913952,laliga,2025-2026,2025-10-04,21:00,Real Madrid,Villarreal,3,1,https://es.whoscored.com/Matches/1913952/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251004_Real_Madrid_vs_Villarreal_1913952,20251004_Real_Madrid_vs_Villarreal_1913952
1913946,laliga,2025-2026,2025-10-05,14:00,Deportivo Alaves,Elche,3,1,https://es.whoscored.com/Matches/1913946/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251005_Deportivo_Alaves_vs_Elche_1913946,20251005_Deportivo_Alaves_vs_Elche_1913946
1913956,laliga,2025-2026,2025-10-05,16:15,Sevilla,Barcelona,4,1,https://es.whoscored.com/Matches/1913956/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251005_Sevilla_vs_Barcelona_1913956,20251005_Sevilla_vs_Barcelona_1913956
1913958,laliga,2025-2026,2025-10-05,18:30,Espanyol,Real Betis,1,2,https://es.whoscored.com/Matches/1913958/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251005_Espanyol_vs_Real_Betis_1913958,20251005_Espanyol_vs_Real_Betis_1913958
1913964,laliga,2025-2026,2025-10-05,18:30,Real Sociedad,Rayo Vallecano,0,1,https://es.whoscored.com/Matches/1913964/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251005_Real_Sociedad_vs_Rayo_Vallecano_1913964,20251005_Real_Sociedad_vs_Rayo_Vallecano_1913964
1913954,laliga,2025-2026,2025-10-05,21:00,Celta Vigo,Atletico Madrid,1,1,https://es.whoscored.com/Matches/1913954/Live,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\data\raw\matchcenter\MatchCenter\Competition\Season\20251005_Celta_Vigo_vs_Atletico_1913954,20251005_Celta_Vigo_vs_Atletico_1913954
