player_id,player_name,team_id,team_name,shirtNo
367164,Iñaki Peña,65,Barcelona,1
367180,Thierry Correia,55,Valencia,12
367583,Aihen Muñoz,68,Real Sociedad,3
367857,Ander Barrenetxea,68,Real Sociedad,7
368091,Eric García,65,Barcelona,24
368519,Bryan Gil,2783,Girona,21
369497,Javi Galán,63,Atletico,21
370000,Alex Sola,819,Getafe,7
371027,Tajon Buchanan,839,Villarreal,17
371497,Giacomo Raspadori,63,Atletico,22
371599,Cristian Rivero,55,Valencia,13
372331,Andrei Ratiu,64,Rayo Vallecano,2
372469,Sergio Camello,64,Rayo Vallecano,10
372473,Iván Martín,2783,Girona,23
372828,Abel Ruiz,2783,Girona,9
374638,Alejandro Catena,131,Osasuna,24
374812,David Carmo,61,Real Oviedo,16
374813,Manu Sánchez,832,Levante,23
375342,Moussa Diarra,60,Deportivo Alaves,22
375621,Conor Gallagher,63,Atletico,4
377285,Takefusa Kubo,68,Real Sociedad,14
378626,Carl Starfelt,62,Celta Vigo,2
379230,Johnny Cardoso,63,Atletico,5
379633,Bambo Diaby,833,Elche,4
379684,Filip Ugrinic,55,Valencia,23
381510,Oihan Sancet,53,Athletic Club,8
381550,Rubén Vargas,67,Sevilla,11
381583,Iker Losada,54,Real Betis,14
381643,Aleix Febas,833,Elche,14
381673,Jon Moncayola,131,Osasuna,7
381674,Sergio Herrera,131,Osasuna,1
381713,Luis Rioja,55,Valencia,11
382157,Pol Lozano,70,Espanyol,10
382492,Tanguy Nianzou,67,Sevilla,5
382631,Rodrigo Riquelme,54,Real Betis,17
383780,Adrián de la Fuente,832,Levante,4
383924,Raúl García,131,Osasuna,9
384368,Mateu Morey,51,Mallorca,2
384711,Ronald Araujo,65,Barcelona,4
386230,Jorge de Frutos,64,Rayo Vallecano,19
386261,Dani Cárdenas,64,Rayo Vallecano,1
386622,Sergio Carreira,62,Celta Vigo,5
388505,Lucien Agoumé,67,Sevilla,18
388665,Largie Ramazani,55,Valencia,17
388808,Pablo Martínez,832,Levante,10
389020,Georges Mikautadze,839,Villarreal,9
390240,Germán Valera,833,Elche,11
391316,Batista Mendy,67,Sevilla,19
391562,Samú Costa,51,Mallorca,12
392361,Azzedine Ounahi,2783,Girona,18
392383,Unai Vencedor,53,Athletic Club,13
395187,Juanlu Sánchez,67,Sevilla,16
395234,Javi López,61,Real Oviedo,25
395242,Álex Baena,63,Atletico,10
395320,Jon Pacheco,68,Real Sociedad,20
395321,Aimar Oroz,131,Osasuna,10
395708,Víctor García,832,Levante,17
396147,Arnau Tenas,839,Villarreal,25
396158,Ferran Jutglà,62,Celta Vigo,9
396583,Yvan Neyou,819,Getafe,4
397469,Óscar Mingueza,62,Celta Vigo,3
397568,Calebe,60,Deportivo Alaves,20
398922,Tyrhys Dolan,70,Espanyol,24
399047,Pape Gueye,839,Villarreal,18
400185,Arsen Zakharyan,68,Real Sociedad,21
400237,Robert Navarro,53,Athletic Club,23
400826,Luiz Júnior,839,Villarreal,1
401173,Urko González de Zárate,68,Real Sociedad,15
402046,Matteo Ruggeri,63,Atletico,3
402092,José Salinas,70,Espanyol,12
402197,Pedri,65,Barcelona,8
402206,Natan,54,Real Betis,4
402630,Mourad El Ghezouani,833,Elche,19
402663,Aitor Paredes,53,Athletic Club,4
402862,Victor Chust,833,Elche,23
403808,Jairo Izquierdo,833,Elche,3
403865,Yéremy Pino,839,Villarreal,21
404245,Ladislav Krejcí,2783,Girona,18
405799,Rafael Romero,67,Sevilla,33
406937,Carlos Álvarez,832,Levante,24
407080,Luka Sucic,68,Real Sociedad,24
407138,Beñat Turrientes,68,Real Sociedad,8
407567,Iván Romero,832,Levante,9
408252,Unai Marrero,68,Real Sociedad,13
408347,John Donald,833,Elche,18
408449,Nico Williams,53,Athletic Club,10
408616,Akor Adams,67,Sevilla,9
408732,Jesús Vázquez,55,Valencia,21
408735,Juan Iglesias,819,Getafe,21
408942,Alfon González,67,Sevilla,17
409030,Ilaix Moriba,62,Celta Vigo,6
409401,Horatiu Moldovan,61,Real Oviedo,1
409467,Antonio Blanco,60,Deportivo Alaves,8
409740,Abdel Abqar,819,Getafe,3
410504,Vladyslav Vanat,2783,Girona,19
411636,Pablo Campos,832,Levante,1
413346,Jon Olasagasti,832,Levante,8
413758,Pablo Ramón,70,Espanyol,4
414643,Beñat Prados,53,Athletic Club,24
415181,Arda Güler,52,Real Madrid,15
415344,Carlos Domínguez,62,Celta Vigo,24
415345,Hugo Sotelo,62,Celta Vigo,22
416959,Alejandro Francés,2783,Girona,16
419616,Federico Redondo,833,Elche,5
419935,Clemens Riedel,70,Espanyol,38
421998,Brandon Dominguès,61,Real Oviedo,17
422656,Diego López,55,Valencia,16
422660,Diego Conde,839,Villarreal,13
422820,Jesús Areso,53,Athletic Club,12
422824,Joan García,65,Barcelona,13
422916,Matías Dituro,833,Elche,1
422918,Giuliano Simeone,63,Atletico,20
422937,Gavi,65,Barcelona,6
422938,Alejandro Balde,65,Barcelona,3
422956,José Ángel Carmona,67,Sevilla,2
422957,Fran García,52,Real Madrid,20
422958,Óscar Valentín,64,Rayo Vallecano,23
422959,Isi Palazón,64,Rayo Vallecano,7
422960,Randy Nteka,64,Rayo Vallecano,11
422963,Pathé Ciss,64,Rayo Vallecano,6
423108,Julen Agirrezabala,55,Valencia,25
423109,Nico Serrano,53,Athletic Club,22
423282,David Affengruber,833,Elche,22
423420,Leo Román,51,Mallorca,1
423913,Jon Karrikaburu,68,Real Sociedad,19
424586,Lucas Bergström,51,Mallorca,31
424737,Bojan Miovski,2783,Girona,19
425092,Antonio Sánchez,51,Mallorca,6
426757,Rubén Sánchez,70,Espanyol,2
427001,Hugo Álvarez,62,Celta Vigo,23
427283,Abde Ezzalzouli,54,Real Betis,10
427360,Carlos Martín,63,Atletico,23
427475,Alejandro Iturbe,833,Elche,45
427831,César Tárrega,55,Valencia,5
428066,Orri Óskarsson,68,Real Sociedad,9
428500,Ilias Akhomach,839,Villarreal,11
428593,Javi Llabrés,51,Mallorca,19
429273,Bryan Zaragoza,62,Celta Vigo,15
429421,Rubén Iranzo,55,Valencia,26
430083,Peter Federico,819,Getafe,19
430148,Marc Pubill,63,Atletico,18
430301,Rafa Marín,839,Villarreal,4
430451,Jofre Carreras,70,Espanyol,17
430907,Iker Benito,131,Osasuna,2
431507,Javi Guerra,55,Valencia,8
431508,Alberto Flores,67,Sevilla,31
431509,Kike Salas,67,Sevilla,4
432475,Nelson Deossa,54,Real Betis,18
433286,Valentín Gómez,54,Real Betis,16
433488,Kervin Arriaga,832,Levante,16
434077,Renato Veiga,839,Villarreal,12
434138,Pablo Barrios,63,Atletico,8
435529,Roony Bardghji,65,Barcelona,28
435987,Abu Kamara,819,Getafe,11
436617,Alemão,64,Rayo Vallecano,9
437583,Álvaro Carreras,52,Real Madrid,18
438351,Martim Neto,833,Elche,16
438519,Álex Primo,832,Levante,32
438846,Damián Rodríguez,62,Celta Vigo,14
438959,Luca Koleosho,70,Espanyol,16
441888,Jones El Abdellaoui,62,Celta Vigo,39
443540,Yáser Asprilla,2783,Girona,10
444227,Williot Swedberg,62,Celta Vigo,19
444239,Arnau Martínez,2783,Girona,4
444242,Joel Roca,2783,Girona,33
444244,Ramon Terrats,70,Espanyol,14
444249,Dawda Camara,2783,Girona,14
444252,Copete,55,Valencia,3
444253,Jorge Herrando,131,Osasuna,5
444254,Pablo Ibáñez,60,Deportivo Alaves,19
444265,Fran Pérez,64,Rayo Vallecano,21
445092,Pablo Torre,51,Mallorca,20
445095,Etta Eyong,839,Villarreal,29
445292,Tani Oluwaseyi,839,Villarreal,21
445345,Jhon Solís,2783,Girona,22
445866,Daniel Luna,51,Mallorca,29
447835,Abde Rebbach,60,Deportivo Alaves,21
447842,Enzo Boyomo,131,Osasuna,22
447857,Juanpe,64,Rayo Vallecano,30
448041,Adrià Alti,839,Villarreal,12
448050,Marc Aguado,833,Elche,8
448208,Álvaro Vallés,54,Real Betis,1
448209,Sergi Cardona,839,Villarreal,23
448211,Alberto Moleiro,839,Villarreal,20
448231,Roger Brugué,832,Levante,7
448284,Andrés Castrín,67,Sevilla,32
448296,Roberto Fernández,70,Espanyol,9
448447,Oier Luengo,61,Real Oviedo,15
448455,Álex Cardero,61,Real Oviedo,27
448468,Pep Chavarría,64,Rayo Vallecano,3
448514,Pedro Díaz,64,Rayo Vallecano,4
448936,Santiago Mouriño,839,Villarreal,15
449383,Álex Padilla,53,Athletic Club,27
449409,Ángel Fortuño,70,Espanyol,1
449410,Omar El Hilali,70,Espanyol,23
454343,Marc Casadó,65,Barcelona,17
456006,Rahim Alhassane,61,Real Oviedo,3
456502,Sergio Mestre,52,Real Madrid,43
459082,Pablo Durán,62,Celta Vigo,18
459677,Pablo Marín,68,Real Sociedad,28
459690,Germán García,54,Real Betis,30
460772,Álvaro Rodríguez,833,Elche,20
461767,Borja Sánchez,61,Real Oviedo,16
461771,Abel Bretones,131,Osasuna,23
462462,Dimitrios Stamatakis,131,Osasuna,31
462768,Miguel Román,62,Celta Vigo,16
462861,Carlos Vicente,60,Deportivo Alaves,7
462987,Dani Pérez,54,Real Betis,37
463233,Mateo Joseph,51,Mallorca,18
463426,Kwasi Sibo,61,Real Oviedo,6
463431,Urko Izeta,53,Athletic Club,25
463588,Javi Rueda,62,Celta Vigo,17
463821,Alberto Reina,61,Real Oviedo,5
463838,Fermín López,65,Barcelona,16
463938,Rodrigo Mendoza,833,Elche,30
463961,Jon Aramburu,68,Real Sociedad,2
463966,Victor Parada,60,Deportivo Alaves,24
464952,Peque Fernández,67,Sevilla,14
467133,Grégoire Swiderski,60,Deportivo Alaves,31
468852,Dean Huijsen,52,Real Madrid,24
468931,Carlos Romero,70,Espanyol,22
469547,Manu Bueno,67,Sevilla,28
469950,Goduine Koyalipou,832,Levante,15
471047,Mario Martín,819,Getafe,6
474267,Iker Muñoz,131,Osasuna,8
475046,Haissem Hassan,61,Real Oviedo,10
478314,Vitor Reis,2783,Girona,12
480249,Lamine Yamal,65,Barcelona,10
